id_transaksi,id_warung,id_produk,tanggal,jam_transaksi,jenis,kategori,nominal,qty,metode_bayar,catatan,jenis_bersih,jam_missing,hari_dalam_minggu,nama_hari,bulan,minggu_ke,is_awal_bulan,is_weekend,jam_encoded
329D1583-136,WRG-005,PRD-005-028,2026-07-01,1900-01-01 08:44:50,Pemasukan,Penjualan,27000.0,3.0,Cash,,Pemasukan,0,2,Wednesday,2026-07,2026-06-29/2026-07-05,1,0,8.0
D0ECC4C8-9D6,WRG-005,PRD-005-013,2026-05-01,1900-01-01 20:11:25,Pemasukan,Penjualan,5000.0,1.0,Cash,,Pemasukan,0,4,Friday,2026-05,2026-04-27/2026-05-03,1,0,20.0
714AE3C0-5DE,WRG-003,PRD-003-015,2026-10-01,1900-01-01 17:50:52,Pemasukan,Penjualan,5000.0,1.0,QRIS,,Pemasukan,0,3,Thursday,2026-10,2026-09-28/2026-10-04,1,0,17.0
26088624-7A2,WRG-005,PRD-005-028,2026-03-02,1900-01-01 08:05:43,Pemasukan,Penjualan,9000.0,1.0,Transfer,,Pemasukan,0,0,Monday,2026-03,2026-03-02/2026-03-08,1,0,8.0
55FF5DBF-A07,WRG-001,PRD-001-015,2026-06-02,1900-01-01 17:26:48,Pemasukan,Penjualan,22000.0,1.0,QRIS,,Pemasukan,0,1,Tuesday,2026-06,2026-06-01/2026-06-07,1,0,17.0
6E96583A-4F0,WRG-003,PRD-003-015,2025-01-11,1900-01-01 13:47:11,Pemasukan,Penjualan,50000.0,10.0,Cash,,Pemasukan,0,5,Saturday,2025-01,2025-01-06/2025-01-12,0,1,13.0
6E719613-7CB,WRG-005,PRD-005-009,2026-07-01,1900-01-01 07:17:43,Pemasukan,Penjualan,50000.0,2.0,Cash,,Pemasukan,0,2,Wednesday,2026-07,2026-06-29/2026-07-05,1,0,7.0
6635FF72-24D,WRG-003,PRD-003-014,2025-10-11,1900-01-01 17:28:00,Pemasukan,Penjualan,20000.0,2.0,Cash,,Pemasukan,0,5,Saturday,2025-10,2025-10-06/2025-10-12,0,1,17.0
7C308460-C52,WRG-003,PRD-003-010,2026-12-02,1900-01-01 15:00:44,Pemasukan,Penjualan,70000.0,5.0,QRIS,,Pemasukan,0,2,Wednesday,2026-12,2026-11-30/2026-12-06,1,0,15.0
290D2FFA-212,WRG-003,PRD-003-014,2026-09-04,1900-01-01 18:54:52,Pemasukan,Penjualan,30000.0,3.0,Cash,,Pemasukan,0,4,Friday,2026-09,2026-08-31/2026-09-06,1,0,18.0
93664056-2F3,WRG-005,PRD-005-009,2025-07-12,1900-01-01 17:08:46,Pemasukan,Penjualan,25000.0,1.0,Cash,,Pemasukan,0,5,Saturday,2025-07,2025-07-07/2025-07-13,0,1,17.0
BA1679FE-579,WRG-005,PRD-005-024,2025-06-11,1900-01-01 11:35:57,Pemasukan,Penjualan,7000.0,2.0,Cash,,Pemasukan,0,2,Wednesday,2025-06,2025-06-09/2025-06-15,0,0,11.0
7405EA27-9C9,WRG-004,PRD-004-002,2026-12-04,1900-01-01 11:43:47,Pemasukan,Penjualan,10500.0,3.0,Cash,,Pemasukan,0,4,Friday,2026-12,2026-11-30/2026-12-06,1,0,11.0
A24371BF-D4C,WRG-004,PRD-004-017,2026-01-02,1900-01-01 20:15:49,Pemasukan,Penjualan,3500.0,1.0,QRIS,,Pemasukan,0,4,Friday,2026-01,2025-12-29/2026-01-04,1,0,20.0
B4A047A7-297,WRG-005,PRD-005-026,2026-08-03,1900-01-01 07:43:07,Pemasukan,Penjualan,8000.0,1.0,Cash,,Pemasukan,0,0,Monday,2026-08,2026-08-03/2026-08-09,1,0,7.0
3B3E28C6-BE9,WRG-003,PRD-003-021,2026-03-03,1900-01-01 15:24:12,Pemasukan,Penjualan,7000.0,2.0,Cash,,Pemasukan,0,1,Tuesday,2026-03,2026-03-02/2026-03-08,1,0,15.0
9DB72AF1-8F8,WRG-003,PRD-003-017,2026-01-03,1900-01-01 11:13:26,Pemasukan,Penjualan,3500.0,1.0,Cash,,Pemasukan,0,5,Saturday,2026-01,2025-12-29/2026-01-04,1,1,11.0
F399A3B7-89B,WRG-005,PRD-005-017,2025-12-10,1900-01-01 16:06:31,Pemasukan,Penjualan,30000.0,3.0,Transfer,,Pemasukan,0,2,Wednesday,2025-12,2025-12-08/2025-12-14,0,0,16.0
B9A72378-423,WRG-002,PRD-002-023,2026-03-04,1900-01-01 11:16:29,Pemasukan,Penjualan,22000.0,1.0,Transfer,,Pemasukan,0,2,Wednesday,2026-03,2026-03-02/2026-03-08,1,0,11.0
EF64395C-9DC,WRG-003,PRD-003-004,2025-09-11,1900-01-01 05:38:45,Pemasukan,Penjualan,4000.0,1.0,QRIS,,Pemasukan,0,3,Thursday,2025-09,2025-09-08/2025-09-14,0,0,5.0
B7EE0831-78E,WRG-005,PRD-005-026,2026-05-02,1900-01-01 15:10:54,Pemasukan,Penjualan,8000.0,1.0,Cash,,Pemasukan,0,5,Saturday,2026-05,2026-04-27/2026-05-03,1,1,15.0
90439F0B-8AC,WRG-005,PRD-005-020,2026-09-01,1900-01-01 20:45:56,Pemasukan,Penjualan,2000.0,1.0,QRIS,,Pemasukan,0,1,Tuesday,2026-09,2026-08-31/2026-09-06,1,0,20.0
23BAB547-31B,WRG-004,PRD-004-016,2025-07-12,1900-01-01 05:33:32,Pemasukan,Penjualan,14000.0,2.0,Cash,,Pemasukan,0,5,Saturday,2025-07,2025-07-07/2025-07-13,0,1,5.0
40AFED41-ECF,WRG-004,PRD-004-012,2026-03-02,1900-01-01 05:29:02,Pemasukan,Penjualan,28000.0,2.0,Cash,,Pemasukan,0,0,Monday,2026-03,2026-03-02/2026-03-08,1,0,5.0
78A637DF-C1E,WRG-005,PRD-005-015,2026-12-01,1900-01-01 19:55:46,Pemasukan,Penjualan,22000.0,1.0,Cash,,Pemasukan,0,1,Tuesday,2026-12,2026-11-30/2026-12-06,1,0,19.0
DA9003CD-87F,WRG-002,PRD-002-001,2026-04-04,1900-01-01 16:19:42,Pemasukan,Penjualan,4000.0,2.0,Cash,,Pemasukan,0,5,Saturday,2026-04,2026-03-30/2026-04-05,1,1,16.0
B9A7502B-8AD,WRG-005,PRD-005-008,2025-04-11,1900-01-01 11:58:12,Pemasukan,Penjualan,7000.0,1.0,Cash,,Pemasukan,0,4,Friday,2025-04,2025-04-07/2025-04-13,0,0,11.0
4A807BF4-94B,WRG-001,PRD-001-009,2026-07-02,1900-01-01 13:20:21,Pemasukan,Penjualan,18000.0,2.0,QRIS,,Pemasukan,0,3,Thursday,2026-07,2026-06-29/2026-07-05,1,0,13.0
4DF01EE6-203,WRG-001,PRD-001-006,2026-03-02,1900-01-01 13:28:31,Pemasukan,Penjualan,25000.0,1.0,Cash,,Pemasukan,0,0,Monday,2026-03,2026-03-02/2026-03-08,1,0,13.0
F93218D6-BCC,WRG-001,PRD-001-020,2026-04-04,1900-01-01 17:12:49,Pemasukan,Penjualan,3500.0,1.0,Transfer,,Pemasukan,0,5,Saturday,2026-04,2026-03-30/2026-04-05,1,1,17.0
EE6CE584-306,WRG-005,PRD-005-006,2025-08-11,1900-01-01 17:03:05,Pemasukan,Penjualan,3500.0,1.0,QRIS,,Pemasukan,0,0,Monday,2025-08,2025-08-11/2025-08-17,0,0,17.0
7E20FB7D-266,WRG-001,PRD-001-018,2026-08-04,1900-01-01 09:28:41,Pemasukan,Penjualan,22000.0,1.0,Cash,,Pemasukan,0,1,Tuesday,2026-08,2026-08-03/2026-08-09,1,0,9.0
7E1A658A-C95,WRG-005,PRD-005-024,2025-09-11,1900-01-01 11:51:46,Pemasukan,Penjualan,10500.0,3.0,Cash,,Pemasukan,0,3,Thursday,2025-09,2025-09-08/2025-09-14,0,0,11.0
59E8B83F-E7E,WRG-004,PRD-004-008,2026-09-01,1900-01-01 11:43:02,Pemasukan,Penjualan,88000.0,1.0,QRIS,,Pemasukan,0,1,Tuesday,2026-09,2026-08-31/2026-09-06,1,0,11.0
A0C0450B-F2E,WRG-001,PRD-001-018,2026-09-02,1900-01-01 06:42:37,Pemasukan,Penjualan,22000.0,1.0,Cash,,Pemasukan,0,2,Wednesday,2026-09,2026-08-31/2026-09-06,1,0,6.0
D35B8ACB-423,WRG-003,PRD-003-017,2026-04-01,1900-01-01 16:49:36,Pemasukan,Penjualan,10500.0,3.0,Cash,,Pemasukan,0,2,Wednesday,2026-04,2026-03-30/2026-04-05,1,0,16.0
B11FF892-90F,WRG-001,PRD-001-009,2025-07-12,1900-01-01 11:00:04,Pemasukan,Penjualan,9000.0,1.0,Cash,,Pemasukan,0,5,Saturday,2025-07,2025-07-07/2025-07-13,0,1,11.0
FBDCBBB7-836,WRG-004,PRD-004-019,2025-05-12,1900-01-01 05:31:26,Pemasukan,Penjualan,10500.0,3.0,Cash,,Pemasukan,0,0,Monday,2025-05,2025-05-12/2025-05-18,0,0,5.0
998CF5E5-0EA,WRG-005,PRD-005-007,2026-08-03,1900-01-01 13:35:05,Pemasukan,Penjualan,22000.0,1.0,Cash,,Pemasukan,0,0,Monday,2026-08,2026-08-03/2026-08-09,1,0,13.0
DADDDF4B-B5C,WRG-004,PRD-004-009,2025-08-12,1900-01-01 17:19:08,Pemasukan,Penjualan,16000.0,2.0,Cash,,Pemasukan,0,1,Tuesday,2025-08,2025-08-11/2025-08-17,0,0,17.0
CB069E0B-AD1,WRG-004,PRD-004-002,2026-09-01,1900-01-01 08:57:22,Pemasukan,Penjualan,7000.0,2.0,Cash,,Pemasukan,0,1,Tuesday,2026-09,2026-08-31/2026-09-06,1,0,8.0
