id_transaksi,id_warung,id_produk,tanggal,jam_transaksi,jenis,kategori,nominal,qty,metode_bayar,catatan
329D1583-136,WRG-005,PRD-005-028,2026-01-07,08:44:50,Pemasukan,Penjualan,27000.0,3.0,Cash,
D0ECC4C8-9D6,WRG-005,PRD-005-013,2026-01-05,20:11:25,Pemasukan,Penjualan,5000.0,1.0,cash ,
69E52C50-A91,WRG-001,,2025-11-19,08:32:48,Pengeluaran,Operasional,27131.0,,Cash,Bensin motor untuk belanja
A31E4B1A-912,WRG-003,PRD-003-007,2026-03-13,17:13:03,Pemasukan,Operasional,145000.0,1.0,Cash,
B91034A5-AA7,WRG-001,PRD-001-012,2026-01-18,07:37:33,Pemasukan,Penjualan,75000.0,1.0,Cash,
714AE3C0-5DE,WRG-003,PRD-003-015,2026-01-10,17:50:52,Pemasukan,Penjualan,5000.0,1.0,QRIS,
26088624-7A2,WRG-005,PRD-005-028,2026-02-03,08:05:43,Pemasukan,Penjualan,9000.0,1.0,Transfer,
07506649-07A,WRG-002,PRD-002-015,2025-10-13,16:49:05,Pemasukan,Penjualan,68000.0,2.0,QRIS,
4ED69844-037,WRG-002,PRD-002-006,2026-03-24,09:52:29,Pemasukan,Penjualan,56000.0,2.0,Cash,
568CDFE1-8A6,WRG-002,PRD-002-004,2025-10-21,09:37:29,Pemasukan,Penjualan,17500.0,5.0,Cash,
509FAF28-E5E,WRG-004,PRD-004-001,2025-12-31,07:43:41,pemasukan,Penjualan,84000.0,3.0,Cash,
55FF5DBF-A07,WRG-001,PRD-001-015,2026-02-06,17:26:48,Pemasukan,Penjualan,22000.0,1.0,QRIS,
EF4543B2-08B,WRG-004,PRD-004-010,2025-11-16,07:31:15,Pemasukan,Penjualan,18000.0,2.0,Cash,
52C29D60-E56,WRG-001,PRD-001-009,2026-02-14,15:47:19,Pemasukan,Penjualan,9000.0,1.0,Cash,
6E96583A-4F0,WRG-003,PRD-003-015,2025-11-01,13:47:11,Pemasukan,Penjualan,50000.0,10.0,Cash,
82383ADB-B99,WRG-001,PRD-001-020,2026-01-15,05:00:55,Pemasukan,Penjualan,3500.0,1.0,Cash,
E6C0C6AF-94F,WRG-005,PRD-005-013,2026-02-19,08:22:20,Pemasukan,Penjualan,10000.0,2.0,Cash,
34F87637-199,WRG-001,PRD-001-003,2025-12-31,05:07:37,Pemasukan,Penjualan,,1.0,Cash,
6E719613-7CB,WRG-005,PRD-005-009,2026-01-07,07:17:43,Pemasukan,Penjualan,50000.0,2.0,Cash,
13411C8F-B2B,WRG-002,PRD-002-009,2025-12-31,12:07:54,income,Penjualan,145000.0,1.0,QRIS,
C96AC8A7-606,WRG-002,PRD-002-016,2026-01-25,08:57:29,Pemasukan,Penjualan,10000.0,1.0,CASH,
D81D2EDC-E4E,WRG-003,PRD-003-007,2025-11-19,15:52:46,Pemasukan,Penjualan,145000.0,1.0,Cash,
F544301C-4FD,WRG-003,PRD-003-007,2025-11-29,15:59:35,Pemasukan,Penjualan,145000.0,1.0,qris,
6635FF72-24D,WRG-003,PRD-003-014,2025-11-10,17:28:00,Pemasukan,Penjualan,20000.0,2.0,Tunai,
E52ACED3-68B,WRG-005,PRD-005-002,2025-12-26,08:27:11,Pemasukan,Penjualan,145000.0,1.0,Cash,
3E29DBFB-CA2,WRG-002,PRD-002-024,2025-11-14,08:33:00,Pemasukan,Penjualan,7000.0,1.0,Cash,
7C308460-C52,WRG-003,PRD-003-010,2026-02-12,15:00:44,Pemasukan,Penjualan,70000.0,5.0,QRIS,
290D2FFA-212,WRG-003,PRD-003-014,2026-04-09,18:54:52,Pemasukan,Penjualan,30000.0,3.0,Cash,
93664056-2F3,WRG-005,PRD-005-009,2025-12-07,17:08:46,Pemasukan,Penjualan,25000.0,1.0,Cash,
BA1679FE-579,WRG-005,PRD-005-024,2025-11-06,11:35:57,Pemasukan,Penjualan,7000.0,2.0,Cash,
1B5B93E6-83A,WRG-002,PRD-002-019,2025-11-14,11:51:44,Pemasukan,Penjualan,17500.0,5.0,QRIS,
062C510E-79F,WRG-005,PRD-005-008,2026-01-28,11:40:54,Pemasukan,Penjualan,7000.0,1.0,Cash,
7405EA27-9C9,WRG-004,PRD-004-002,2026-04-12,11:43:47,Pemasukan,Penjualan,10500.0,3.0,Cash,
A24371BF-D4C,WRG-004,PRD-004-017,2026-02-01,20:15:49,Pemasukan,Penjualan,3500.0,1.0,QRIS,
B4A047A7-297,WRG-005,PRD-005-026,2026-03-08,07:43:07,Pemasokan,Penjualan,8000.0,1.0,Cash,
53C52E5C-E8B,WRG-004,PRD-004-012,2026-03-29,12:21:49,Pemasukan,Penjualan,28000.0,2.0,Cash,
3B3E28C6-BE9,WRG-003,PRD-003-021,2026-03-03,15:24:12,Pemasukan,Penjualan,7000.0,2.0,Cash,
9DB72AF1-8F8,WRG-003,PRD-003-017,2026-03-01,11:13:26,Pemasukan,Penjualan,3500.0,1.0,Cash,
A10DA092-511,WRG-003,PRD-003-002,2025-10-16,09:19:39,Pemasukan,Penjualan,17000.0,1.0,QRIS,
F399A3B7-89B,WRG-005,PRD-005-017,2025-10-12,16:06:31,Pemasukan,Penjualan,30000.0,3.0,Transfer,
96D71D17-5AF,WRG-002,PRD-002-006,2025-10-19,16:35:59,Pemasukan,Penjualan,56000.0,2.0,QRIS,
